226 2
-0.343  -0.473
-0.316  -0.465
-0.307  -0.465
-0.282  -0.470
-0.244  -0.459
-0.235  -0.468
-0.195  -0.471
-0.182  -0.471
-0.150  -0.466
-0.114  -0.469
-0.080  -0.470
-0.057  -0.469
-0.023  -0.467
0.014  -0.473
0.021  -0.472
0.028  -0.472
0.066  -0.468
0.090  -0.468
0.097  -0.468
0.120  -0.460
0.159  -0.470
0.172  -0.471
0.196  -0.442
0.230  -0.451
0.243  -0.459
0.249  -0.462
0.257  -0.465
0.303  -0.464
0.319  -0.470
0.332  -0.471
0.340  -0.467
0.361  -0.453
0.378  -0.443
0.388  -0.434
0.398  -0.424
0.415  -0.404
0.422  -0.386
0.428  -0.366
0.432  -0.357
0.434  -0.349
0.436  -0.340
0.435  -0.322
0.431  -0.303
0.427  -0.286
0.407  -0.266
0.386  -0.259
0.361  -0.250
0.354  -0.239
0.364  -0.231
0.364  -0.222
0.363  -0.197
0.365  -0.178
0.366  -0.177
0.366  -0.160
0.364  -0.151
0.359  -0.133
0.356  -0.124
0.352  -0.114
0.346  -0.088
0.343  -0.079
0.339  -0.070
0.329  -0.052
0.319  -0.035
0.318  -0.032
0.313  -0.024
0.301  -0.005
0.301  -0.004
0.297  0.001
0.280  0.021
0.274  0.028
0.259  0.040
0.249  0.048
0.233  0.062
0.225  0.068
0.212  0.077
0.203  0.083
0.190  0.090
0.185  0.092
0.171  0.099
0.157  0.105
0.151  0.106
0.137  0.109
0.120  0.113
0.115  0.114
0.099  0.116
0.089  0.115
0.070  0.115
0.053  0.113
0.047  0.113
0.030  0.111
0.024  0.110
0.018  0.109
-0.005  0.105
-0.024  0.100
-0.030  0.099
-0.037  0.096
-0.050  0.093
-0.056  0.090
-0.061  0.088
-0.080  0.082
-0.101  0.078
-0.119  0.085
-0.138  0.090
-0.166  0.097
-0.185  0.104
-0.197  0.121
-0.200  0.128
-0.216  0.152
-0.210  0.160
-0.209  0.189
-0.199  0.196
-0.177  0.208
-0.145  0.224
-0.140  0.228
-0.104  0.245
-0.093  0.250
-0.055  0.270
-0.049  0.268
-0.019  0.281
-0.003  0.287
0.012  0.292
0.038  0.306
0.065  0.321
0.084  0.340
0.109  0.372
0.109  0.399
0.103  0.434
0.094  0.446
0.078  0.455
0.064  0.463
0.052  0.468
0.016  0.468
0.009  0.465
-0.030  0.444
-0.061  0.417
-0.088  0.410
-0.127  0.412
-0.143  0.424
-0.162  0.430
-0.165  0.430
-0.190  0.434
-0.231  0.418
-0.248  0.403
-0.255  0.391
-0.274  0.371
-0.290  0.350
-0.299  0.336
-0.307  0.327
-0.313  0.318
-0.326  0.295
-0.332  0.272
-0.345  0.274
-0.349  0.274
-0.367  0.274
-0.377  0.274
-0.383  0.273
-0.389  0.273
-0.395  0.273
-0.402  0.272
-0.414  0.270
-0.419  0.269
-0.439  0.264
-0.452  0.260
-0.459  0.256
-0.474  0.249
-0.482  0.243
-0.493  0.235
-0.505  0.215
-0.509  0.197
-0.518  0.181
-0.522  0.173
-0.524  0.156
-0.532  0.138
-0.534  0.129
-0.539  0.112
-0.540  0.103
-0.548  0.085
-0.551  0.076
-0.556  0.059
-0.550  0.042
-0.548  0.016
-0.534  -0.002
-0.524  -0.011
-0.497  -0.022
-0.477  -0.024
-0.470  -0.028
-0.464  -0.039
-0.469  -0.056
-0.473  -0.064
-0.479  -0.081
-0.482  -0.090
-0.484  -0.103
-0.486  -0.120
-0.485  -0.142
-0.485  -0.147
-0.482  -0.159
-0.475  -0.177
-0.469  -0.197
-0.463  -0.214
-0.459  -0.223
-0.449  -0.235
-0.436  -0.253
-0.420  -0.267
-0.421  -0.273
-0.418  -0.277
-0.412  -0.284
-0.400  -0.293
-0.388  -0.304
-0.376  -0.320
-0.359  -0.332
-0.339  -0.342
-0.335  -0.343
-0.314  -0.351
-0.294  -0.357
-0.284  -0.364
-0.282  -0.380
-0.286  -0.397
-0.299  -0.413
-0.301  -0.423
-0.331  -0.420
-0.357  -0.436
-0.369  -0.443
-0.375  -0.452
-0.379  -0.462
-0.379  -0.472
-0.343  -0.473
